product_code,product_description,customer_count,total_quantity,total_revenue,avg_price
22086,PAPER CHAIN KIT 50'S CHRISTMAS,60,1861,4687.249999999997,2.894166666666667
85123A,WHITE HANGING HEART T-LIGHT HOLDER,67,1648,4369.5999999999985,2.8723880597014926
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,20,1828,3959.400000000001,2.5050000000000003
15056BL,EDWARDIAN PARASOL BLACK,13,1003,3777.85,5.4653846153846155
84879,ASSORTED COLOUR BIRD ORNAMENT,37,1985,3047.4499999999994,1.6640540540540538
20679,EDWARDIAN PARASOL RED,13,831,2976.4499999999994,5.542307692307692
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,29,722,2566.7,5.813793103448275
79323W,WHITE CHERRY LIGHTS,31,399,2316.25,6.288709677419355
15056N,EDWARDIAN PARASOL NATURAL,11,690,2305.5,5.590909090909091
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,17,658,2185.8999999999996,5.71764705882353
85099B,JUMBO BAG RED WHITE SPOTTY,48,1179,2101.05,1.91875
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,11,596,1847.0000000000002,5.681818181818182
15056P,EDWARDIAN PARASOL PINK,3,603,1817.8500000000001,4.966666666666667
79323P,PINK CHERRY LIGHTS,22,301,1756.15,6.395454545454545
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1,505,1515.0,3.0
22139,RETRO SPOT TEA SET CERAMIC 11 PC,45,307,1435.6499999999999,4.934444444444447
22111,SCOTTIE DOG HOT WATER BOTTLE,44,309,1411.9500000000005,4.870454545454548
22083,PAPER CHAIN KIT RETRO SPOT,26,518,1408.9000000000003,2.91923076923077
84029E,RED WOOLLY HOTTIE WHITE HEART.,31,443,1382.85,3.569354838709677
21967,PACK OF 12 SKULL TISSUES,2,5232,1309.92,0.27
22114,HOT WATER BOTTLE TEA AND SYMPATHY,42,344,1274.8000000000002,3.8666666666666667
21314,SMALL GLASS HEART TRINKET POT,2,688,1273.8000000000002,1.975
84912B,GREEN ROSE WASHBAG,3,605,1218.75,3.1666666666666665
84912A,PINK ROSE WASHBAG,1,600,1200.0,2.0
72756,FAIRY CAKE CANDLES,34,810,1129.14,1.4688235294117646
21981,PACK OF 12 WOODLAND TISSUES,6,4437,1113.93,0.2833333333333333
22112,CHOCOLATE HOT WATER BOTTLE,26,243,1102.0500000000002,4.842307692307692
21980,PACK OF 12 RED SPOTTY TISSUES,11,4297,1085.8100000000002,0.2863636363636363
20971,PINK BLUE FELT CRAFT TRINKET BOX,13,992,1080.4,1.2207692307692306
